nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
39316,0,,,,,,
,0,-0.606031129360199,0.0927222202008432,0,,,
,1,,,,7.1891994,0.001,
,2,,,,7.675956,0.001,
,3,,,,6.6767516,0.001,
,4,,,,5.8978786,0.001,
,5,,,,6.2564683,0.001,
,6,,,,8.427702,0.001,
,7,,,,6.355818,0.001,
,8,,,,4.3217287,0.001,
,9,,,,7.0950556,0.001,
,10,,,,11.649611,0.001,
,11,,,,6.31498,0.001,
,12,,,,4.87379,0.001,
,13,,,,5.6455173,0.001,
,14,,,,5.9087305,0.001,
,15,,,,7.7949276,0.001,
,16,,,,4.6175385,0.001,
,17,,,,7.4685044,0.001,
,18,,,,7.5688567,0.001,
,19,,,,7.5417776,0.001,
,20,,,,6.6110044,0.001,
,21,,,,5.5439696,0.001,
,22,,,,9.244808,0.001,
,23,,,,5.825475,0.001,
,24,,,,7.0112405,0.001,
,25,,,,4.6779222,0.001,
,26,,,,6.120398,0.001,
,27,,,,5.805331,0.001,
,28,,,,6.108695,0.001,
,29,,,,8.399754,0.001,
,30,,,,6.969283,0.001,
,31,,,,5.689083,0.001,
,32,,,,6.7781773,0.001,
,33,,,,4.9612136,0.001,
,34,,,,5.3979125,0.001,
,35,,,,7.540547,0.001,
,36,,,,4.4413614,0.001,
,37,,,,4.929952,0.001,
,38,,,,5.7897253,0.001,
,39,,,,7.85374,0.001,
,40,,,,5.1881895,0.001,
,41,,,,5.9595556,0.001,
,42,,,,5.998043,0.001,
,43,,,,6.959204,0.001,
,44,,,,4.0162015,0.001,
,45,,,,6.953924,0.001,
,46,,,,4.4974422,0.001,
,47,,,,4.907288,0.001,
,48,,,,5.3879137,0.001,
,49,,,,7.643663,0.001,
,50,,,,4.5695615,0.001,
,51,,,,3.8773324,0.001,
,52,,,,6.6783204,0.001,
,53,,,,4.609863,0.001,
,54,,,,6.555074,0.001,
,55,,,,6.8414536,0.001,
,56,,,,5.7191944,0.001,
,57,,,,4.37403,0.001,
,58,,,,7.6918654,0.001,
,59,,,,5.3530326,0.001,
,60,,,,4.8779407,0.001,
,61,,,,4.2676606,0.001,
,62,,,,4.215572,0.001,
,63,,,,3.2694645,0.001,
,64,,,,3.67254,0.001,
,65,,,,5.0200014,0.001,
,66,,,,6.5516853,0.001,
,67,,,,5.462881,0.001,
,68,,,,3.9515805,0.001,
,69,,,,4.8974876,0.001,
,70,,,,5.0986333,0.001,
,71,,,,5.60523,0.001,
,72,,,,5.6050334,0.001,
,73,,,,4.2659073,0.001,
,74,,,,4.5128107,0.001,
,75,,,,4.5585284,0.001,
,76,,,,4.505507,0.001,
,77,,,,3.0871768,0.001,
,78,,,,4.3174367,0.001,
,79,,,,7.597269,0.001,
,80,,,,4.458817,0.001,
,81,,,,8.205726,0.001,
,82,,,,6.038191,0.001,
,83,,,,6.712319,0.001,
,84,,,,5.284631,0.001,
,85,,,,5.917383,0.001,
,86,,,,4.9018617,0.001,
,87,,,,5.1551123,0.001,
,88,,,,5.536172,0.001,
,89,,,,6.0098515,0.001,
,90,,,,4.588359,0.001,
,91,,,,5.20482,0.001,
,92,,,,4.9909034,0.001,
,93,,,,4.8561573,0.001,
,94,,,,4.444217,0.001,
,95,,,,4.996878,0.001,
,96,,,,5.8974986,0.001,
,97,,,,7.6712666,0.001,
,98,,,,5.288565,0.001,
,99,,,,5.8871737,0.001,
,100,,,,4.536727,0.001,
,101,,,,5.505158,0.001,
,102,,,,9.010251,0.001,
,103,,,,7.624074,0.001,
,104,,,,12.571128,0.001,
,105,,,,5.4584403,0.001,
,106,,,,10.024768,0.001,
,107,,,,10.019282,0.001,
,108,,,,7.5955625,0.001,
,109,,,,8.810035,0.001,
,110,,,,10.112895,0.001,
,111,,,,10.203369,0.001,
,112,,,,8.163063,0.001,
,113,,,,6.1105895,0.001,
,114,,,,5.712383,0.001,
,115,,,,9.475326,0.001,
,116,,,,5.6211615,0.001,
,117,,,,7.0418653,0.001,
,118,,,,6.2530656,0.001,
,119,,,,5.950005,0.001,
,120,,,,7.7404723,0.001,
,121,,,,6.5082245,0.001,
,122,,,,8.465718,0.001,
,123,,,,5.3341613,0.001,
,124,,,,6.3108125,0.001,
,125,,,,7.25152,0.001,
,126,,,,11.560393,0.001,
,127,,,,5.482466,0.001,
,128,,,,8.138932,0.001,
,129,,,,9.743784,0.001,
,130,,,,5.6371317,0.001,
,131,,,,6.258763,0.001,
,132,,,,6.76368,0.001,
,133,,,,10.2129,0.001,
,134,,,,6.3959317,0.001,
,135,,,,8.198719,0.001,
,136,,,,6.800679,0.001,
,137,,,,4.5655007,0.001,
,138,,,,5.6602254,0.001,
,139,,,,8.03273,0.001,
,140,,,,6.303637,0.001,
,141,,,,6.1730566,0.001,
,142,,,,8.159951,0.001,
,143,,,,6.230738,0.001,
,144,,,,6.4993334,0.001,
,145,,,,6.782498,0.001,
,146,,,,7.50228,0.001,
,147,,,,6.15238,0.001,
,148,,,,7.367048,0.001,
,149,,,,6.5146265,0.001,
,150,,,,7.6945176,0.001,
,151,,,,7.0852704,0.001,
,152,,,,7.3752937,0.001,
,153,,,,9.081414,0.001,
,154,,,,4.885916,0.001,
,155,,,,7.8185606,0.001,
,156,,,,7.4083886,0.001,
,157,,,,8.753741,0.001,
,158,,,,6.588804,0.001,
,159,,,,7.0098424,0.001,
,160,,,,6.4535832,0.001,
,161,,,,5.70611,0.001,
,162,,,,5.5323634,0.001,
,163,,,,6.9301434,0.001,
,164,,,,5.9287496,0.001,
,165,,,,9.306753,0.001,
,166,,,,9.059067,0.001,
,167,,,,8.492791,0.001,
,168,,,,8.68635,0.001,
,169,,,,7.245302,0.001,
,170,,,,8.832175,0.001,
,171,,,,5.7717986,0.001,
,172,,,,7.931204,0.001,
,173,,,,4.523775,0.001,
,174,,,,7.393725,0.001,
,175,,,,6.5653687,0.001,
,176,,,,7.2848587,0.001,
,177,,,,6.965674,0.001,
,178,,,,8.278569,0.001,
,179,,,,7.3839307,0.001,
,180,,,,8.337353,0.001,
,181,,,,8.492075,0.001,
,182,,,,7.7366114,0.001,
,183,,,,7.4142766,0.001,
,184,,,,6.310635,0.001,
,185,,,,7.1084986,0.001,
,186,,,,8.295616,0.001,
,187,,,,6.4069304,0.001,
,188,,,,4.228277,0.001,
,189,,,,6.159992,0.001,
,190,,,,7.5843043,0.001,
,191,,,,7.2829404,0.001,
,192,,,,6.0343122,0.001,
,193,,,,7.0903907,0.001,
,194,,,,6.243357,0.001,
,195,,,,7.673449,0.001,
,196,,,,12.068187,0.001,
,197,,,,5.8677883,0.001,
,198,,,,8.2059965,0.001,
,199,,,,7.2879477,0.001,
,200,,,,6.9564195,0.001,
,201,,,,4.252007,0.001,
,202,,,,3.8935719,0.001,
,203,,,,4.8606963,0.001,
,204,,,,4.653685,0.001,
,205,,,,3.573182,0.001,
,206,,,,4.8286815,0.001,
,207,,,,4.495136,0.001,
,208,,,,2.848394,0.001,
,209,,,,5.0435386,0.001,
,210,,,,3.2125077,0.001,
,211,,,,4.5562325,0.001,
,212,,,,3.714454,0.001,
,213,,,,4.048304,0.001,
,214,,,,4.12456,0.001,
,215,,,,3.5641594,0.001,
,216,,,,6.055792,0.001,
,217,,,,4.021171,0.001,
,218,,,,3.0736148,0.001,
,219,,,,5.100741,0.001,
